row index,label,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP
row 195,8,"[0.0, 0.0]","[0.12652209401130676, -0.21334409713745117]","[0.1638353168964386, -0.5633212327957153]","[0.07265091687440872, -0.8812942504882812]","[-0.058360155671834946, -1.121891736984253]","[0.16149382293224335, -0.9599348306655884]","[0.129648819565773, -1.3398370742797852]","[0.07093289494514465, -1.57962965965271]","[0.010124043561518192, -1.7710224390029907]","[0.0, -1.0]","[-0.0006878486601635814, -1.3604010343551636]","[-0.003319013398140669, -1.3397325277328491]","[0.004494748543947935, -1.2749667167663574]","[-0.16758134961128235, -0.961693286895752]","[-0.26538369059562683, -1.3416988849639893]","[-0.3439514636993408, -1.5853899717330933]","[-0.4062250554561615, -1.8080413341522217]","[-0.31385788321495056, -0.8410277962684631]","[-0.45855602622032166, -1.0500390529632568]","[-0.5483922958374023, -1.1900831460952759]","[-0.6305941939353943, -1.3386743068695068]"
row 196,8,"[0.0, 0.0]","[0.10025032609701157, -0.19719797372817993]","[0.11774322390556335, -0.5465265512466431]","[-0.020747650414705276, -0.8625696301460266]","[-0.1541459709405899, -1.1135883331298828]","[0.16528812050819397, -0.9680503010749817]","[0.11638528853654861, -1.3371516466140747]","[0.03990217670798302, -1.586349368095398]","[-0.04072447866201401, -1.7807015180587769]","[0.0, -0.9999999403953552]","[-0.023669162765145302, -1.3620777130126953]","[-0.023459164425730705, -1.3905738592147827]","[-0.011741066351532936, -1.3606055974960327]","[-0.15959103405475616, -0.9481458067893982]","[-0.26875221729278564, -1.3166261911392212]","[-0.34588858485221863, -1.56541907787323]","[-0.40694427490234375, -1.802475929260254]","[-0.28556352853775024, -0.8139152526855469]","[-0.41185227036476135, -1.0250784158706665]","[-0.4933006167411804, -1.1620062589645386]","[-0.5684098601341248, -1.3115719556808472]"
row 197,8,"[0.0, 0.0]","[0.16911031305789948, -0.18858025968074799]","[0.2525102496147156, -0.5084690451622009]","[0.18323193490505219, -0.7429497241973877]","[0.060874033719301224, -0.8812023997306824]","[0.1700466424226761, -0.9793503284454346]","[0.1528329700231552, -1.3291943073272705]","[0.14297543466091156, -1.541508674621582]","[0.1331588327884674, -1.7390679121017456]","[0.0, -1.0]","[-0.004468920174986124, -1.3877147436141968]","[-0.015512032434344292, -1.2417587041854858]","[-0.021312426775693893, -1.0694421529769897]","[-0.16602970659732819, -0.9343346953392029]","[-0.24969471991062164, -1.2938642501831055]","[-0.33125901222229004, -1.552385687828064]","[-0.4061177670955658, -1.786077618598938]","[-0.31685149669647217, -0.7997854351997375]","[-0.5072374939918518, -1.0168242454528809]","[-0.6408013105392456, -1.1372021436691284]","[-0.7663483619689941, -1.284156084060669]"
row 198,8,"[0.0, 0.0]","[0.1850876361131668, -0.18901589512825012]","[0.30861398577690125, -0.5395937561988831]","[0.2321309745311737, -0.8050422668457031]","[0.1239713728427887, -0.9706584215164185]","[0.17363576591014862, -0.9888395667076111]","[0.1760709136724472, -1.341036081314087]","[0.18778640031814575, -1.5613477230072021]","[0.1952410340309143, -1.7527657747268677]","[0.0, -1.0]","[0.015238724648952484, -1.3785983324050903]","[0.046798285096883774, -1.2226991653442383]","[0.06980115920305252, -1.0496256351470947]","[-0.16218681633472443, -0.9377115368843079]","[-0.22678333520889282, -1.2808340787887573]","[-0.27243638038635254, -1.5444276332855225]","[-0.3205587863922119, -1.780490756034851]","[-0.31221163272857666, -0.8008553385734558]","[-0.5142603516578674, -0.9993778467178345]","[-0.6583749055862427, -1.1031630039215088]","[-0.7951807379722595, -1.2330878973007202]"
row 199,8,"[0.0, 0.0]","[0.19245587289333344, -0.17194870114326477]","[0.32116860151290894, -0.49225300550460815]","[0.24660690128803253, -0.743298351764679]","[0.12525613605976105, -0.9187358021736145]","[0.19326573610305786, -0.9785396456718445]","[0.19496656954288483, -1.327819585800171]","[0.21005213260650635, -1.5441761016845703]","[0.22134971618652344, -1.7414908409118652]","[0.0, -1.0]","[0.013841131702065468, -1.3911620378494263]","[0.043760042637586594, -1.234606146812439]","[0.06579259783029556, -1.0580577850341797]","[-0.17995913326740265, -0.9311884641647339]","[-0.25073498487472534, -1.2760852575302124]","[-0.3091042637825012, -1.5334281921386719]","[-0.368679016828537, -1.7662776708602905]","[-0.3411041498184204, -0.7789148688316345]","[-0.5667306780815125, -0.9826695919036865]","[-0.7332301735877991, -1.0745463371276855]","[-0.8962428569793701, -1.208250880241394]"
row 200,8,"[0.0, 0.0]","[0.19764161109924316, -0.1492474228143692]","[0.34815502166748047, -0.4201151132583618]","[0.302564799785614, -0.6473594903945923]","[0.194474458694458, -0.8239418864250183]","[0.21367326378822327, -0.9731889963150024]","[0.23322314023971558, -1.337138056755066]","[0.25891590118408203, -1.5572460889816284]","[0.27853909134864807, -1.741211175918579]","[0.0, -0.9999999403953552]","[0.04836677387356758, -1.4023000001907349]","[0.08337997645139694, -1.2269361019134521]","[0.09770097583532333, -1.028451919555664]","[-0.20021392405033112, -0.9248834848403931]","[-0.25828245282173157, -1.2830264568328857]","[-0.313364714384079, -1.5276013612747192]","[-0.3751302659511566, -1.7398934364318848]","[-0.38159245252609253, -0.759057879447937]","[-0.6272611021995544, -0.9806351065635681]","[-0.8123764991760254, -1.0904500484466553]","[-0.9865415096282959, -1.244089126586914]"
row 201,8,"[0.0, 0.0]","[0.2064485251903534, -0.12126518040895462]","[0.3831571340560913, -0.3479124903678894]","[0.3687908351421356, -0.5530030131340027]","[0.23191674053668976, -0.7126837968826294]","[0.25435948371887207, -0.963752806186676]","[0.2915079593658447, -1.3356459140777588]","[0.3037453889846802, -1.5594227313995361]","[0.3145171105861664, -1.7742176055908203]","[0.0, -0.9999999403953552]","[0.051210664212703705, -1.3786956071853638]","[0.09649988263845444, -1.1494123935699463]","[0.11697260290384293, -0.946109414100647]","[-0.22825919091701508, -0.9004980325698853]","[-0.3301490843296051, -1.2259925603866577]","[-0.42427778244018555, -1.429422378540039]","[-0.5295895338058472, -1.639699935913086]","[-0.4163885712623596, -0.693738579750061]","[-0.6948258280754089, -0.8758898973464966]","[-0.9149494171142578, -0.9576432704925537]","[-1.127561092376709, -1.1075233221054077]"
row 202,8,"[0.0, 0.0]","[0.2203209400177002, -0.11487233638763428]","[0.4057009220123291, -0.3452661335468292]","[0.4058111608028412, -0.5406901836395264]","[0.2562060058116913, -0.6702932715415955]","[0.26323121786117554, -0.976518452167511]","[0.28488215804100037, -1.3690129518508911]","[0.2948985695838928, -1.5889232158660889]","[0.30537328124046326, -1.8254477977752686]","[0.0, -1.0]","[0.030061107128858566, -1.4079910516738892]","[0.08371269702911377, -1.170041561126709]","[0.10756239295005798, -0.9646763801574707]","[-0.23937349021434784, -0.8856436610221863]","[-0.37499916553497314, -1.2107716798782349]","[-0.4944283664226532, -1.391741156578064]","[-0.6237929463386536, -1.579836368560791]","[-0.4369163513183594, -0.667224645614624]","[-0.7470147013664246, -0.8469192981719971]","[-0.980839729309082, -0.9083331227302551]","[-1.2091851234436035, -1.0359553098678589]"
row 203,8,"[0.0, 0.0]","[0.19759106636047363, -0.09787075966596603]","[0.3674467206001282, -0.3343967795372009]","[0.3621320128440857, -0.5531520843505859]","[0.22527191042900085, -0.7266300916671753]","[0.23894721269607544, -0.967553973197937]","[0.2557516098022461, -1.3317276239395142]","[0.2616845667362213, -1.5585395097732544]","[0.2664598226547241, -1.77139151096344]","[0.0, -1.0]","[0.030522527173161507, -1.3460475206375122]","[0.08905863016843796, -1.1225359439849854]","[0.12381663173437119, -0.9169141054153442]","[-0.2188914567232132, -0.8922550678253174]","[-0.32638823986053467, -1.1989424228668213]","[-0.40834876894950867, -1.388109803199768]","[-0.5020306706428528, -1.5864410400390625]","[-0.41192156076431274, -0.6759989261627197]","[-0.6737121343612671, -0.8312398195266724]","[-0.870197057723999, -0.8967508673667908]","[-1.0672650337219238, -1.0249258279800415]"
row 204,8,"[0.0, 0.0]","[0.2054702192544937, -0.13798749446868896]","[0.33949047327041626, -0.4314403533935547]","[0.2755122780799866, -0.6935104727745056]","[0.19573712348937988, -0.9018430113792419]","[0.20263256132602692, -0.9642334580421448]","[0.20655293762683868, -1.3478087186813354]","[0.224199116230011, -1.569474458694458]","[0.24415284395217896, -1.7754336595535278]","[0.0, -1.0]","[0.028533056378364563, -1.3987348079681396]","[0.061294857412576675, -1.2116178274154663]","[0.07981318235397339, -1.0192095041275024]","[-0.1886966973543167, -0.9312686920166016]","[-0.27316415309906006, -1.2820532321929932]","[-0.35409924387931824, -1.5278596878051758]","[-0.4361734688282013, -1.7686235904693604]","[-0.35603517293930054, -0.763271689414978]","[-0.5903179049491882, -0.9775890707969666]","[-0.7630494832992554, -1.0853419303894043]","[-0.9344969391822815, -1.2441415786743164]"
row 205,8,"[0.0, 0.0]","[0.1895398497581482, -0.16128228604793549]","[0.3100309371948242, -0.49119165539741516]","[0.23679699003696442, -0.7669990658760071]","[0.16112655401229858, -0.969720184803009]","[0.186807319521904, -0.9666411876678467]","[0.1921115219593048, -1.343946933746338]","[0.20645493268966675, -1.5743683576583862]","[0.2188384234905243, -1.7733975648880005]","[0.0, -1.0]","[0.0241604745388031, -1.3927115201950073]","[0.057301681488752365, -1.221026062965393]","[0.08054690808057785, -1.02944815158844]","[-0.17472577095031738, -0.9449660181999207]","[-0.26266542077064514, -1.305031180381775]","[-0.3333204388618469, -1.5824694633483887]","[-0.40342581272125244, -1.8325551748275757]","[-0.3336567282676697, -0.8025911450386047]","[-0.5697894096374512, -1.012812852859497]","[-0.7404658198356628, -1.1235902309417725]","[-0.9073671698570251, -1.2720896005630493]"
row 206,8,"[0.0, 0.0]","[0.18378743529319763, -0.1880411058664322]","[0.2925373613834381, -0.5376201272010803]","[0.19553983211517334, -0.8038139939308167]","[0.09394178539514542, -0.9624739289283752]","[0.17342278361320496, -0.9875819683074951]","[0.17053498327732086, -1.3348071575164795]","[0.18628719449043274, -1.5343146324157715]","[0.1978742629289627, -1.7166632413864136]","[0.0, -1.0]","[0.020657936111092567, -1.3785640001296997]","[0.040258247405290604, -1.226155400276184]","[0.05360593646764755, -1.0546773672103882]","[-0.1642894297838211, -0.9367626309394836]","[-0.2284119725227356, -1.2732995748519897]","[-0.27900511026382446, -1.5497922897338867]","[-0.3283328115940094, -1.8047882318496704]","[-0.3148217499256134, -0.7992480397224426]","[-0.5214069485664368, -0.9960156679153442]","[-0.6698198914527893, -1.0934942960739136]","[-0.8087387084960938, -1.221767544746399]"
row 207,8,"[0.0, 0.0]","[0.19247232377529144, -0.19371037185192108]","[0.29055851697921753, -0.5983660221099854]","[0.2082190215587616, -0.8982651829719543]","[0.10029285401105881, -1.061501145362854]","[0.16936276853084564, -0.9893076419830322]","[0.157339408993721, -1.3552526235580444]","[0.15681801736354828, -1.5750306844711304]","[0.16013170778751373, -1.7543668746948242]","[0.0, -1.0]","[-0.0037457235157489777, -1.3829150199890137]","[0.022097336128354073, -1.245890498161316]","[0.056201670318841934, -1.0634726285934448]","[-0.16198624670505524, -0.945224404335022]","[-0.23910003900527954, -1.316681981086731]","[-0.281574547290802, -1.5862125158309937]","[-0.31428125500679016, -1.8122960329055786]","[-0.3057802617549896, -0.8169837594032288]","[-0.5151382088661194, -1.0088659524917603]","[-0.6595357060432434, -1.125869870185852]","[-0.7874670028686523, -1.2633825540542603]"
row 208,9,"[0.0, 0.0]","[0.1964351385831833, -0.1780003160238266]","[0.33101794123649597, -0.47345319390296936]","[0.35432711243629456, -0.7545757293701172]","[0.31049320101737976, -0.9761481881141663]","[0.1553916484117508, -0.9360823035240173]","[0.17514997720718384, -1.2232749462127686]","[0.2266622632741928, -1.1271308660507202]","[0.25417467951774597, -0.964445948600769]","[0.0, -1.0]","[-0.03473612293601036, -1.4203382730484009]","[-0.07038664817810059, -1.6851447820663452]","[-0.11973416805267334, -1.9273009300231934]","[-0.14030276238918304, -0.95353764295578]","[-0.27747273445129395, -1.3087315559387207]","[-0.3648671507835388, -1.5587080717086792]","[-0.43619009852409363, -1.7749059200286865]","[-0.26400551199913025, -0.8099867105484009]","[-0.4523807764053345, -1.0079878568649292]","[-0.5861833691596985, -1.1487609148025513]","[-0.7036623954772949, -1.284155011177063]"
row 209,9,"[0.0, 0.0]","[0.19532309472560883, -0.1854151338338852]","[0.32366159558296204, -0.47112220525741577]","[0.341476708650589, -0.7550080418586731]","[0.29783323407173157, -0.9922216534614563]","[0.15253539383411407, -0.937091052532196]","[0.17845545709133148, -1.2346190214157104]","[0.22556720674037933, -1.1603431701660156]","[0.2496587038040161, -1.00404953956604]","[0.0, -1.0]","[-0.0322142019867897, -1.4348015785217285]","[-0.06650515645742416, -1.701442003250122]","[-0.11395172029733658, -1.9411369562149048]","[-0.13580450415611267, -0.9530566930770874]","[-0.2699340581893921, -1.311048150062561]","[-0.36075931787490845, -1.566718578338623]","[-0.4346056878566742, -1.779514193534851]","[-0.2588828504085541, -0.810788631439209]","[-0.45452582836151123, -1.0080527067184448]","[-0.5920838117599487, -1.1529775857925415]","[-0.7113907933235168, -1.2889902591705322]"
row 210,9,"[0.0, 0.0]","[0.2000787854194641, -0.18894332647323608]","[0.3206552565097809, -0.49509280920028687]","[0.33411797881126404, -0.7830379605293274]","[0.28608042001724243, -1.014906883239746]","[0.1473129540681839, -0.9419668912887573]","[0.16030649840831757, -1.2387893199920654]","[0.1981908529996872, -1.1612850427627563]","[0.21875667572021484, -1.0034428834915161]","[0.0, -1.0]","[-0.02119583636522293, -1.4133495092391968]","[-0.054910384118556976, -1.664254069328308]","[-0.09798593074083328, -1.8847218751907349]","[-0.13549210131168365, -0.9551215767860413]","[-0.24945902824401855, -1.3063154220581055]","[-0.3298869729042053, -1.548916220664978]","[-0.3924134373664856, -1.7510782480239868]","[-0.2623720169067383, -0.8169645071029663]","[-0.4384002387523651, -1.0154999494552612]","[-0.5637202858924866, -1.158462643623352]","[-0.6712028384208679, -1.2908482551574707]"
row 211,9,"[0.0, 0.0]","[0.20562273263931274, -0.19890081882476807]","[0.3403378427028656, -0.5047168731689453]","[0.3605249226093292, -0.7868770360946655]","[0.29930558800697327, -0.9862157106399536]","[0.14963512122631073, -0.9478929042816162]","[0.16624058783054352, -1.2550857067108154]","[0.20072856545448303, -1.202287197113037]","[0.21498245000839233, -1.0624241828918457]","[0.0, -1.0]","[-0.01591665670275688, -1.4230232238769531]","[-0.038634058088064194, -1.6865506172180176]","[-0.0730748102068901, -1.913233995437622]","[-0.13858047127723694, -0.9479233026504517]","[-0.265766978263855, -1.30828857421875]","[-0.35160690546035767, -1.554585337638855]","[-0.4192814528942108, -1.7527261972427368]","[-0.26698654890060425, -0.8017715215682983]","[-0.4495682120323181, -0.9927783608436584]","[-0.5827421545982361, -1.1335915327072144]","[-0.6973810195922852, -1.2659168243408203]"
row 212,9,"[0.0, 0.0]","[0.19318309426307678, -0.19156834483146667]","[0.32737380266189575, -0.47645968198776245]","[0.33931609988212585, -0.75185626745224]","[0.2969619333744049, -0.9591796398162842]","[0.15201885998249054, -0.9499284625053406]","[0.17270950973033905, -1.241219162940979]","[0.2221091389656067, -1.1763783693313599]","[0.25035542249679565, -1.0258055925369263]","[0.0, -1.0]","[-0.0521702840924263, -1.4234341382980347]","[-0.10228721052408218, -1.681789517402649]","[-0.16541263461112976, -1.9105980396270752]","[-0.1329442262649536, -0.9422263503074646]","[-0.2702237665653229, -1.2822061777114868]","[-0.3688090145587921, -1.5215764045715332]","[-0.4527055621147156, -1.7171781063079834]","[-0.25354573130607605, -0.7887905836105347]","[-0.4558534026145935, -0.9716207385063171]","[-0.5986366868019104, -1.1038062572479248]","[-0.7231602668762207, -1.2292332649230957]"
row 213,9,"[0.0, 0.0]","[0.20147068798542023, -0.17384932935237885]","[0.33933091163635254, -0.47194722294807434]","[0.3539367616176605, -0.750686764717102]","[0.2951214015483856, -0.9437553882598877]","[0.16468308866024017, -0.9484801888465881]","[0.17515692114830017, -1.2479747533798218]","[0.21604111790657043, -1.1564446687698364]","[0.23716726899147034, -1.0021154880523682]","[0.0, -1.0]","[-0.06081797555088997, -1.4215668439865112]","[-0.11693435907363892, -1.689181923866272]","[-0.18656474351882935, -1.9288737773895264]","[-0.14436496794223785, -0.9415345788002014]","[-0.2913718521595001, -1.2856637239456177]","[-0.3962891399860382, -1.5279127359390259]","[-0.4816524088382721, -1.7414885759353638]","[-0.26974809169769287, -0.785247802734375]","[-0.48261749744415283, -0.9745742678642273]","[-0.6320111155509949, -1.1020945310592651]","[-0.7569862008094788, -1.2328357696533203]"
row 214,9,"[0.0, 0.0]","[0.2164655178785324, -0.16333968937397003]","[0.37051713466644287, -0.4446638524532318]","[0.3845213055610657, -0.7113524079322815]","[0.316627562046051, -0.9155423045158386]","[0.18664442002773285, -0.9478510022163391]","[0.19786396622657776, -1.2493008375167847]","[0.2400270402431488, -1.1191432476043701]","[0.2597346305847168, -0.9573009014129639]","[0.0, -1.0]","[-0.055503908544778824, -1.4487509727478027]","[-0.13057322800159454, -1.7380186319351196]","[-0.22375363111495972, -1.9936589002609253]","[-0.16570647060871124, -0.9300798177719116]","[-0.3341805934906006, -1.3013153076171875]","[-0.46014121174812317, -1.5528041124343872]","[-0.5630714893341064, -1.7824374437332153]","[-0.3066740930080414, -0.7636532187461853]","[-0.5353942513465881, -0.9848983883857727]","[-0.7038553357124329, -1.1175161600112915]","[-0.8455033302307129, -1.260536551475525]"
row 215,9,"[0.0, 0.0]","[0.2224603295326233, -0.1312955766916275]","[0.4005054235458374, -0.3819160461425781]","[0.4591771960258484, -0.6135566830635071]","[0.37980279326438904, -0.8031773567199707]","[0.20988729596138, -0.9247228503227234]","[0.2650338113307953, -1.1791362762451172]","[0.28276631236076355, -0.9480639696121216]","[0.2578694820404053, -0.7402539849281311]","[0.0, -1.0]","[-0.05077926814556122, -1.4395639896392822]","[-0.13110506534576416, -1.7285747528076172]","[-0.2384931743144989, -2.003343343734741]","[-0.18618597090244293, -0.9327497482299805]","[-0.3466143310070038, -1.3084630966186523]","[-0.4827156662940979, -1.5611417293548584]","[-0.5991337895393372, -1.8134900331497192]","[-0.3385990858078003, -0.7537698745727539]","[-0.5827762484550476, -0.967063307762146]","[-0.7623852491378784, -1.090903639793396]","[-0.9136767983436584, -1.2320960760116577]"
row 216,9,"[0.0, 0.0]","[0.23289704322814941, -0.131426602602005]","[0.42150548100471497, -0.34178626537323]","[0.5028723478317261, -0.5280908346176147]","[0.40617993474006653, -0.7011304497718811]","[0.2350914031267166, -0.9255419969558716]","[0.2978627383708954, -1.1425707340240479]","[0.3204467296600342, -0.9102170467376709]","[0.29416027665138245, -0.7083480954170227]","[0.0, -1.0]","[-0.07292526215314865, -1.4456238746643066]","[-0.1641445904970169, -1.7383885383605957]","[-0.28296807408332825, -2.009890079498291]","[-0.20881226658821106, -0.9253357648849487]","[-0.3977820873260498, -1.2951856851577759]","[-0.5431798696517944, -1.5555387735366821]","[-0.6661104559898376, -1.8140541315078735]","[-0.37339168787002563, -0.7323088049888611]","[-0.6518084406852722, -0.9277147650718689]","[-0.8530244827270508, -1.049920916557312]","[-1.018908977508545, -1.1943411827087402]"
row 217,9,"[0.0, 0.0]","[0.2434498518705368, -0.12205983698368073]","[0.4545704424381256, -0.32478371262550354]","[0.5448998808860779, -0.49974220991134644]","[0.4436717927455902, -0.672856867313385]","[0.24152691662311554, -0.9344151020050049]","[0.30578523874282837, -1.1582485437393188]","[0.3436966836452484, -0.8716700673103333]","[0.3244639039039612, -0.6311721205711365]","[0.0, -1.0]","[-0.07921658456325531, -1.456322431564331]","[-0.18127697706222534, -1.7563300132751465]","[-0.3178289234638214, -2.0397965908050537]","[-0.21214459836483002, -0.9135403633117676]","[-0.409956157207489, -1.2821930646896362]","[-0.5708118677139282, -1.5450483560562134]","[-0.7133601307868958, -1.8087890148162842]","[-0.37935078144073486, -0.7071524262428284]","[-0.6633151173591614, -0.8878412842750549]","[-0.8723304867744446, -0.9932742118835449]","[-1.0486539602279663, -1.1209772825241089]"
row 218,9,"[0.0, 0.0]","[0.22495943307876587, -0.13387364149093628]","[0.4077813923358917, -0.38336607813835144]","[0.4519200623035431, -0.6156571507453918]","[0.3689234256744385, -0.8269050121307373]","[0.21210752427577972, -0.9274686574935913]","[0.25455573201179504, -1.1815766096115112]","[0.26678261160850525, -0.9514490962028503]","[0.23486238718032837, -0.750799298286438]","[0.0, -1.0]","[-0.054034218192100525, -1.4365830421447754]","[-0.12383966892957687, -1.7073471546173096]","[-0.2235656976699829, -1.959830641746521]","[-0.1839049607515335, -0.9369780421257019]","[-0.3431100845336914, -1.3027153015136719]","[-0.46569961309432983, -1.5570296049118042]","[-0.5725164413452148, -1.803017258644104]","[-0.33645299077033997, -0.76693195104599]","[-0.5759731531143188, -0.9952705502510071]","[-0.7504621148109436, -1.1370588541030884]","[-0.8987138271331787, -1.2883758544921875]"
row 219,9,"[0.0, 0.0]","[0.21493451297283173, -0.15892943739891052]","[0.3624958395957947, -0.4484986960887909]","[0.37295275926589966, -0.7275763154029846]","[0.30056604743003845, -0.9361517429351807]","[0.17288589477539062, -0.9365265369415283]","[0.18660375475883484, -1.2235946655273438]","[0.22218817472457886, -1.0906058549880981]","[0.23323586583137512, -0.9211509227752686]","[0.0, -1.0]","[-0.05553290247917175, -1.4332377910614014]","[-0.11335701495409012, -1.7059608697891235]","[-0.18913666903972626, -1.954508900642395]","[-0.15181012451648712, -0.9482564926147461]","[-0.29870861768722534, -1.3042618036270142]","[-0.41328075528144836, -1.5555685758590698]","[-0.511884868144989, -1.7823573350906372]","[-0.28425681591033936, -0.8022171854972839]","[-0.4915299415588379, -1.015617847442627]","[-0.6404769420623779, -1.1601195335388184]","[-0.7715945243835449, -1.3050742149353027]"
row 220,9,"[0.0, 0.0]","[0.21547755599021912, -0.18892265856266022]","[0.3623028099536896, -0.5116190910339355]","[0.4017471373081207, -0.8001818060874939]","[0.33422133326530457, -1.0049573183059692]","[0.16057676076889038, -0.9425259828567505]","[0.17771027982234955, -1.2258116006851196]","[0.22743560373783112, -1.1445567607879639]","[0.25674787163734436, -0.9835585951805115]","[0.0, -1.0]","[-0.02554982341825962, -1.4056895971298218]","[-0.056952670216560364, -1.657687783241272]","[-0.1024169847369194, -1.886225700378418]","[-0.14331893622875214, -0.9565927982330322]","[-0.26022565364837646, -1.3124147653579712]","[-0.3393026292324066, -1.5593127012252808]","[-0.40434831380844116, -1.7649829387664795]","[-0.27379629015922546, -0.8226673007011414]","[-0.4577227234840393, -1.032758116722107]","[-0.5908154249191284, -1.177966594696045]","[-0.7052094340324402, -1.3129888772964478]"
row 221,9,"[0.0, 0.0]","[0.22815245389938354, -0.18706774711608887]","[0.36270663142204285, -0.5433009266853333]","[0.39988240599632263, -0.8183392882347107]","[0.3750287890434265, -1.0085734128952026]","[0.15866242349147797, -0.9470829963684082]","[0.17906276881694794, -1.2125144004821777]","[0.23813031613826752, -1.0565521717071533]","[0.2594439685344696, -0.8705398440361023]","[0.0, -0.9999999403953552]","[-0.04934960603713989, -1.402032494544983]","[-0.08812656253576279, -1.6639295816421509]","[-0.15293213725090027, -1.8976832628250122]","[-0.13782694935798645, -0.9467461705207825]","[-0.2648260295391083, -1.3046562671661377]","[-0.3420534133911133, -1.5372443199157715]","[-0.41510143876075745, -1.7427698373794556]","[-0.25335848331451416, -0.8072625398635864]","[-0.4366442561149597, -1.011437177658081]","[-0.5614238977432251, -1.1492167711257935]","[-0.6714044809341431, -1.2820477485656738]"
row 222,9,"[0.0, 0.0]","[0.20562942326068878, -0.20639850199222565]","[0.3139358460903168, -0.5691236853599548]","[0.3731357157230377, -0.8368707299232483]","[0.3917360305786133, -1.0258411169052124]","[0.13707908987998962, -0.951607882976532]","[0.16474805772304535, -1.2106120586395264]","[0.2356943041086197, -1.1007689237594604]","[0.27144575119018555, -0.9258505702018738]","[0.0, -1.0]","[-0.04540608078241348, -1.4116299152374268]","[-0.07143674045801163, -1.684542179107666]","[-0.11967676132917404, -1.916695475578308]","[-0.11650295555591583, -0.9406936168670654]","[-0.21058455109596252, -1.3041311502456665]","[-0.2690396010875702, -1.5524905920028687]","[-0.3267967402935028, -1.7698856592178345]","[-0.2140015810728073, -0.7959294319152832]","[-0.36139795184135437, -1.0052717924118042]","[-0.4618595838546753, -1.1615711450576782]","[-0.5513009428977966, -1.3123279809951782]"
row 223,9,"[0.0, 0.0]","[0.20691362023353577, -0.22980861365795135]","[0.29729315638542175, -0.5751602053642273]","[0.3598063886165619, -0.8410313129425049]","[0.3748762309551239, -1.0352821350097656]","[0.12445797026157379, -0.9719090461730957]","[0.14270859956741333, -1.2173948287963867]","[0.2102254182100296, -1.0606833696365356]","[0.2463047206401825, -0.8599616885185242]","[0.0, -1.0]","[-0.05485425889492035, -1.407866358757019]","[-0.08662086725234985, -1.669772744178772]","[-0.13765420019626617, -1.9034011363983154]","[-0.10493356734514236, -0.9191997051239014]","[-0.1950587034225464, -1.2896589040756226]","[-0.2515180706977844, -1.53721022605896]","[-0.3112567663192749, -1.7686572074890137]","[-0.18613111972808838, -0.7600502371788025]","[-0.30795201659202576, -0.9894405007362366]","[-0.39463165402412415, -1.152989149093628]","[-0.47570469975471497, -1.3076362609863281]"
row 224,9,"[0.0, 0.0]","[0.22802697122097015, -0.29559633135795593]","[0.2879420220851898, -0.6041159629821777]","[0.3472459018230438, -0.8579652309417725]","[0.3752635717391968, -1.030362844467163]","[0.10372193157672882, -0.9987334609031677]","[0.12831130623817444, -1.222710132598877]","[0.20330868661403656, -1.0574040412902832]","[0.24068257212638855, -0.8794189095497131]","[0.0, -1.0]","[-0.055797480046749115, -1.4306087493896484]","[-0.0873662680387497, -1.6965340375900269]","[-0.13668063282966614, -1.9248178005218506]","[-0.06917958706617355, -0.8902432918548584]","[-0.16129226982593536, -1.2954574823379517]","[-0.20762166380882263, -1.5552077293395996]","[-0.2670329809188843, -1.7931013107299805]","[-0.11255195736885071, -0.7236061692237854]","[-0.22146959602832794, -0.9965248107910156]","[-0.28653740882873535, -1.1675750017166138]","[-0.36543959379196167, -1.3389904499053955]"
row 225,9,"[0.0, 0.0]","[0.21171537041664124, -0.2151726931333542]","[0.3143935203552246, -0.5857921838760376]","[0.37396132946014404, -0.8491779565811157]","[0.3902907073497772, -1.0095547437667847]","[0.13941960036754608, -0.9699162840843201]","[0.15603773295879364, -1.1989494562149048]","[0.21396347880363464, -1.0385582447052002]","[0.24166914820671082, -0.8417908549308777]","[0.0, -1.0]","[-0.0578494518995285, -1.39839768409729]","[-0.09007957577705383, -1.6585158109664917]","[-0.13595862686634064, -1.8864461183547974]","[-0.11716935783624649, -0.9225901961326599]","[-0.21346814930438995, -1.2938584089279175]","[-0.27147942781448364, -1.5411795377731323]","[-0.32671016454696655, -1.7699265480041504]","[-0.20964302122592926, -0.7629997134208679]","[-0.35010331869125366, -0.9874638319015503]","[-0.4479901194572449, -1.1488898992538452]","[-0.5362564921379089, -1.309283971786499]"
